site,min_level,max_level,level_difference,slope,slope_per_year,num_years,status
Site_2813,-138.25,-35.72,102.53,-0.2532420710834952,-0.8169099067209523,31,consistent
Site_2814,-202.96,-23.43,179.53,-0.4781474520847044,-1.542411135757111,31,falling
Site_2815,-162.16,-50.16,112.0,-0.2993552210709968,-0.9656620034548284,31,consistent
Site_2816,-158.85,-37.06,121.78999999999999,-0.3248841972625661,-1.0480135395566648,31,falling
Site_2817,-186.2,-21.87,164.32999999999998,-0.4993350576207897,-1.6107582503896443,31,falling
Site_2818,-164.57,-29.45,135.12,-0.3569114593695637,-1.1513272882889152,31,falling
Site_2819,-258.86,-63.15,195.71,-0.5350689536431945,-1.7260288827199821,31,falling
Site_282,-236.68,-67.56,169.12,-0.44545716829147614,-1.4369586073918585,31,falling
Site_2820,-194.79,-30.81,163.98,-0.3982900909587142,-1.2848067450281104,31,falling
Site_2821,-214.16,-62.53,151.63,-0.41072210148809074,-1.3249100048002929,31,falling
Site_2822,-225.35,-47.36,177.99,-0.4889196599378647,-1.5771601933479507,31,falling
Site_2823,-223.91,-38.82,185.09,-0.47746478984608937,-1.540208999503514,31,falling
Site_2824,-117.77,-17.25,100.52,-0.2428878473444444,-0.7835091849820788,31,consistent
Site_2825,-205.45,-60.05,145.39999999999998,-0.39632958632405396,-1.2784825365292063,31,falling
Site_2826,-167.29,-48.04,119.25,-0.34315468592971266,-1.1069505997732665,31,falling
Site_2827,-164.98,-13.39,151.58999999999997,-0.40504873152640297,-1.3066088113754935,31,falling
Site_2828,-217.79,-68.01,149.77999999999997,-0.42764023864546497,-1.3794846407918224,31,falling
Site_2829,-202.06,-50.99,151.07,-0.4196396443274514,-1.3536762720240367,31,falling
Site_283,-221.73,-60.07,161.66,-0.46481967677262337,-1.4994183121697529,31,falling
Site_2830,-213.45,-35.17,178.27999999999997,-0.5025007193033468,-1.6209700622688608,31,falling
Site_2831,-214.09,-49.12,164.97,-0.4454380047239356,-1.4368967894320501,31,falling
Site_2832,-239.71,-71.62,168.09,-0.4341255873035308,-1.4004051203339702,31,falling
Site_2833,-205.6,-37.23,168.37,-0.45932421195471923,-1.481691006305546,31,falling
Site_2834,-164.3,-37.71,126.59,-0.3562843977492439,-1.149304508868529,31,falling
Site_2835,-190.9,-45.42,145.48000000000002,-0.41697811481305763,-1.3450906929453472,31,falling
Site_2836,-157.52,-23.16,134.36,-0.34030211250720577,-1.0977487500232443,31,falling
Site_2837,-190.55,-63.96,126.59,-0.3420380873672987,-1.10334866892677,31,falling
