site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1167,decreasing,True,0.0,-11.043858898848033,-0.882800608828006,-2320.0,44092.0,-0.4059497549019607,-108.16580882352942
Site_1168,decreasing,True,0.0,-9.543831052860481,-0.762937595129376,-2005.0,44091.0,-0.2683669950738917,-85.77878817733989
Site_1169,decreasing,True,0.0,-11.143994343160442,-0.8907914764079148,-2341.0,44091.0,-0.38606308991554883,-109.96172876304024
Site_117,decreasing,True,0.0,-9.853498192385949,-0.7876712328767124,-2070.0,44090.0,-0.2786333333333331,-113.67920000000001
Site_1170,decreasing,True,0.0,-9.910647529412836,-0.7922374429223744,-2082.0,44090.0,-0.28590939153439165,-103.23726190476191
Site_1171,decreasing,True,0.0,-11.210922084284784,-0.8961187214611872,-2355.0,44089.0,-0.45895264116575657,-106.43770491803275
Site_1172,decreasing,True,0.0,-11.486886476796148,-0.9181887366818874,-2413.0,44091.0,-0.536430995475113,-115.56848416289593
Site_1173,decreasing,True,0.0,-10.558340015717567,-0.8439878234398782,-2218.0,44090.0,-0.3471363636363636,-74.20309090909092
Site_1174,decreasing,True,0.0,-9.553355834350361,-0.7636986301369864,-2007.0,44091.0,-0.27000000000000046,-100.99999999999999
Site_1175,decreasing,True,0.0,-9.634425733782878,-0.7701674277016742,-2024.0,44090.0,-0.3208097826086955,-121.45084782608696
Site_1176,decreasing,True,0.0,-11.510567899316815,-0.9200913242009132,-2418.0,44092.0,-0.7726619433198378,-97.45417004048583
Site_1177,decreasing,True,0.0,-10.339267557114496,-0.8264840182648402,-2172.0,44090.0,-0.3897295321637425,-107.20973684210526
Site_1178,decreasing,True,0.0,-11.891824546344957,-0.9505327245053272,-2498.0,44090.0,-0.7687210884353739,-93.18604081632654
Site_1179,decreasing,True,0.0,-9.75802797918914,-0.7800608828006088,-2050.0,44092.0,-0.34214638157894717,-103.86273026315791
Site_118,decreasing,True,0.0,-10.653347286210888,-0.8515981735159818,-2238.0,44092.0,-0.4377925363693864,-86.71946869070209
Site_1180,decreasing,True,0.0,-11.025309667998792,-0.8812785388127854,-2316.0,44088.0,-0.41714058355437644,-89.89293899204245
Site_1181,decreasing,True,0.0,-9.539176838738063,-0.7625570776255708,-2004.0,44090.0,-0.2918990384615384,-109.03163461538462
Site_1182,decreasing,True,0.0,-11.12005628667967,-0.8888888888888888,-2336.0,44092.0,-0.4194416996047429,-101.59009881422925
Site_1183,decreasing,True,0.0,-11.105895217200919,-0.8877473363774734,-2333.0,44091.0,-0.4182575757575757,-88.57272727272726
Site_1184,decreasing,True,0.0,-10.181991412682489,-0.8139269406392694,-2139.0,44091.0,-0.4166666666666667,-116.18
Site_1185,decreasing,True,0.0,-10.929562817100575,-0.8736681887366818,-2296.0,44092.0,-0.3896388888888889,-120.77300000000001
Site_1186,decreasing,True,0.0,-11.262926388863992,-0.9003044140030442,-2366.0,44092.0,-0.5011681818181819,-66.57794545454546
